tweet_id,likes,retweets
892420643555336193,33598,6950
892177421306343426,29143,5253
891815181378084864,21931,3460
891689557279858688,36661,7161
891327558926688256,35053,7699
891087950875897856,17690,2574
890971913173991426,10293,1642
890729181411237888,56485,15653
890609185150312448,24368,3597
890240255349198849,27772,6048
890006608113172480,26880,6100
889880896479866881,24417,4127
889665388333682689,41753,8279
889638837579907072,23508,3690
889531135344209921,13275,1870
889278841981685760,21940,4409
888917238123831296,25459,3733
888804989199671297,22323,3504
888554962724278272,17211,2856
888078434458587136,19046,2876
887705289381826560,26441,4508
887517139158093824,40449,9786
887473957103951883,59786,14918
887343217045368832,29393,8755
887101392804085760,26820,4961
886983233522544640,30152,6266
886736880519319552,10434,2606
886680336477933568,19600,3711
886366144734445568,18429,2610
886267009285017600,103,4
886258384151887873,24375,5233
886054160059072513,0,93
885984800019947520,28416,5578
885528943205470208,31391,5291
885518971528720385,17887,3093
885311592912609280,0,15319
885167619883638784,19121,3641
884925521741709313,66740,14908
884876753390489601,24224,4625
884562892145688576,21166,3885
884441805382717440,23726,4766
884247878851493888,62771,16771
884162670584377345,17824,2487
883838122936631299,19033,2844
883482846933004288,39928,8198
883360690899218434,19826,3057
883117836046086144,32296,5500
882992080364220416,20852,3222
882762694511734784,24618,4067
882627270321602560,24454,5026
882268110199369728,38950,9551
882045870035918850,25548,4055
881906580714921986,21317,2835
881666595344535552,44241,8886
881633300179243008,113,8
881536004380872706,43156,13311
881268444196462592,20376,4470
880935762899988482,14952,2319
880872448815771648,18586,3186
880465832366813184,24850,5177
880221127280381952,23506,3441
880095782870896641,24163,3630
879862464715927552,19592,2909
879674319642796034,279,9
879492040517615616,20586,2615
879415818425184262,92202,37111
879376492567855104,14753,2628
879130579576475649,0,5695
879050749262655488,19694,3923
879008229531029506,16662,2228
878776093423087618,17035,3411
878604707211726852,26280,5886
878404777348136964,0,1065
878316110768087041,0,5489
878281511006478336,6734,1065
878057613040115712,36909,5695
877736472329191424,68774,15683
877556246731214848,19779,3143
877316821321428993,23995,4310
877201837425926144,23734,4592
876838120628539392,18113,2790
876537666061221889,20933,3954
876484053909872640,16467,1985
876120275196170240,24550,3881
875747767867523072,21973,3556
875144289856114688,19307,4126
875097192612077568,24101,5082
875021211251597312,22429,3945
874680097055178752,24441,3897
874434818259525634,0,12140
874296783580663808,22822,3459
874057562936811520,20011,3359
874012996292530176,29957,8534
873580283840344065,21267,3329
873337748698140672,0,1324
873213775632977920,6289,1324
872967104147763200,23911,4533
872820683541237760,12987,3152
872620804844003328,18216,3052
872486979161796608,35875,7667
872122724285648897,30023,6787
871879754684805121,32853,9185
871762521631449091,17761,2945
871515927908634625,17800,2921
871166179821445120,0,4869
871102520638267392,18440,4640
871032628920680449,20044,3205
870804317367881728,29645,5252
870726314365509632,105,3
870656317836468226,10824,2187
870374049280663552,73524,22604
870308999962521604,19366,3525
870063196459192321,32227,7037
869772420881756160,37781,8642
869702957897576449,24909,5351
869596645499047938,14100,2620
869227993411051520,18023,3176
868880397819494401,57571,12171
868639477480148993,0,1734
868622495443632128,23501,4431
868552278524837888,8909,1734
867900495410671616,21455,3550
867774946302451713,30070,6216
867421006826221569,14255,2105
867072653475098625,0,100
867051520902168576,28530,6738
866720684873056260,17758,4105
866686824827068416,17010,2942
866450705531457537,108208,29982
866334964761202691,46315,12140
866094527597207552,0,7120
865718153858494464,22797,4800
865359393868664832,23435,4260
865006731092295680,24891,6621
864873206498414592,28661,7462
864279568663928832,12981,2562
864197398364647424,26461,7530
863907417377173506,18314,3568
863553081350529029,13598,3606
863471782782697472,0,2078
863432100342583297,21167,4532
863427515083354112,1951,80
863079547188785154,7847,944
863062471531167744,7474,2078
862831371563274240,17131,4429
862722525377298433,15236,3062
862457590147678208,18163,4219
862096992088072192,65809,19862
861383897657036800,32084,9204
861288531465048066,15265,3565
861005113778896900,14909,3311
860981674716409858,0,1843
860924035999428608,0,673
860563773140209665,6681,1843
860524505164394496,21123,4575
860276583193509888,16479,3048
860184849394610176,14929,5089
860177593139703809,0,26531
859924526012018688,17508,3563
859851578198683649,13911,3051
859607811541651456,16729,1356
859196978902773760,79924,26111
859074603037188101,30222,11892
858860390427611136,0,7025
858843525470990336,14046,3011
858471635011153920,19374,4230
858107933456039936,14141,2526
857989990357356544,14413,2253
857746408056729600,30609,9286
857393404942143489,5279,1434
857263160327368704,18169,3952
857214891891077121,202,16
857062103051644929,0,145
857029823797047296,16953,3465
856543823941562368,14750,2529
856526610513747968,10779,1644
856288084350160898,485,15
856282028240666624,25083,5549
855862651834028034,299,21
855860136149123072,4386,849
855857698524602368,10814,1851
855851453814013952,41712,16045
855818117272018944,24175,4786
855459453768019968,26965,7269
855245323840757760,0,5229
855138241867124737,0,36
854732716440526848,20564,5309
854482394044301312,26418,5983
854365224396361728,17113,4128
854120357044912130,29051,6560
854010172552949760,14767,2778
853760880890318849,25942,5095
853639147608842240,31363,8813
853299958564483072,14077,3152
852936405516943360,0,1782
852912242202992640,8209,1587
852672615818899456,13579,1898
852553447878664193,14807,3095
852311364735569921,30213,8819
852226086759018497,18256,6056
852189679701164033,10529,1411
851591660324737024,14880,3106
851464819735769094,22163,6276
851224888060895234,18932,5140
850753642995093505,27966,8033
850380195714523136,12009,2317
850333567704068097,3176,301
850145622816686080,14960,3373
850019790995546112,18674,4341
849776966551130114,27785,6780
849668094696017920,0,4420
849412302885593088,14593,2814
849336543269576704,10504,1677
849051919805034497,38797,7583
848690551926992896,23148,3906
848324959059550208,22706,4125
848213670039564288,7511,644
848212111729840128,14963,2705
847978865427394560,0,2905
847971574464610304,0,394
847962785489326080,21647,4545
847842811428974592,4989,1184
847617282490613760,6445,376
847606175596138505,17278,3069
847251039262605312,18861,3892
847157206088847362,18288,5227
847116187444137987,19791,2865
846874817362120707,18530,3532
846514051647705089,40960,10321
846505985330044928,13014,2747
846153765933735936,28925,8123
846139713627017216,28668,9123
846042936437604353,14728,2574
845812042753855489,26872,7830
845677943972139009,23314,4365
845397057150107648,7043,1613
845306882940190720,21501,4829
845098359547420673,0,6903
844979544864018432,12609,2303
844973813909606400,13855,2834
844580511645339650,15210,2800
844223788422217728,12649,1979
843981021012017153,14043,2689
843856843873095681,19860,4147
843604394117681152,15620,2470
843235543001513987,19865,5371
842846295480000512,14155,3303
842765311967449089,6267,1173
842535590457499648,16833,3158
842163532590374912,22613,5229
842115215311396866,12967,2741
841833993020538882,0,13490
841680585030541313,23926,7115
841439858740625411,11667,3295
841320156043304961,18334,4998
841314665196081154,14669,4212
841077006473256960,21253,4869
840761248237133825,0,1614
840728873075638272,0,14530
840698636975636481,163,2
840696689258311684,11416,888
840632337062862849,8383,1614
840370681858686976,15270,4164
840268004936019968,17801,5185
839990271299457024,12478,2059
839549326359670784,25450,7025
839290600511926273,0,132
839239871831150596,25091,5898
838952994649550848,18276,3648
838921590096166913,10369,1848
838916489579200512,0,31
838831947270979586,0,9969
838561493054533637,10202,1228
838476387338051585,20866,4322
838201503651401729,0,9129
838150277551247360,1560,300
838085839343206401,134,1
838083903487373313,16382,2826
837820167694528512,31683,7120
837482249356513284,3587,403
837471256429613056,11937,2056
837110210464448512,15004,2171
836989968035819520,11881,2103
836753516572119041,18029,4243
836677758902222849,11780,2015
836648853927522308,0,505
836397794269200385,0,24925
836380477523124226,13849,2737
836260088725786625,19843,3962
836001077879255040,17780,3866
835685285446955009,0,7379
835574547218894849,16564,3279
835536468978302976,0,1536
835309094223372289,0,19046
835297930240217089,15371,2730
835264098648616962,7185,1536
835246439529840640,1982,63
835172783151792128,24458,5276
835152434251116546,20840,2748
834931633769889797,10055,1482
834786237630337024,20121,5089
834574053763584002,12747,2299
834477809192075265,0,9713
834458053273591808,8991,1541
834209720923721728,19164,4306
834167344700198914,14775,3346
834089966724603904,9398,1957
834086379323871233,12177,2032
833863086058651648,12551,2193
833826103416520705,17002,3472
833732339549220864,0,202
833722901757046785,19588,2979
833479644947025920,13939,1878
833124694597443584,18893,4420
832998151111966721,12370,1998
832769181346996225,0,38
832757312314028032,15774,3306
832682457690300417,11092,2648
832645525019123713,2717,482
832636094638288896,14820,2540
832397543355072512,11192,2031
832369877331693569,16004,2905
832273440279240704,10601,2134
832215909146226688,0,5686
832215726631055365,0,8537
832088576586297345,58,2
832040443403784192,0,8763
832032802820481025,16678,4282
831939777352105988,22375,5629
831926988323639298,319,34
831911600680497154,25696,5939
831670449226514432,9744,1680
831650051525054464,6653,1782
831552930092285952,8411,2147
831322785565769729,8723,1435
831315979191906304,6155,1034
831309418084069378,11036,2249
831262627380748289,11095,1880
830956169170665475,7470,1371
830583320585068544,62022,15319
830173239259324417,0,5214
830097400375152640,9097,2677
829878982036299777,0,4571
829861396166877184,11457,1784
829501995190984704,29732,9714
829449946868879360,9822,1848
829141528400556032,22778,6729
829011960981237760,50028,15023
828801551087042563,0,3140
828770345708580865,23943,5363
828708714936930305,34045,10257
828650029636317184,8903,1232
828409743546925057,6006,1072
828408677031882754,7211,1180
828381636999917570,11791,2049
828376505180889089,6962,986
828372645993398273,11804,2711
828361771580813312,2057,165
828046555563323392,10997,2640
828011680017821696,9727,1978
827933404142436356,18734,4794
827653905312006145,14514,2782
827600520311402496,7030,862
827324948884643840,14867,2790
827199976799354881,9957,2046
826958653328592898,20197,4572
826848821049180160,33841,9279
826615380357632002,0,3658
826598799820865537,4828,229
826598365270007810,9390,2168
826476773533745153,17282,3871
826240494070030336,12457,2408
826204788643753985,4576,850
826115272272650244,14650,2844
825876512159186944,9855,1728
825829644528148480,11954,2319
825535076884762624,53692,16264
825147591692263424,17163,4149
825120256414846976,0,1162
825026590719483904,5865,1162
824796380199809024,0,5063
824775126675836928,13974,3252
824663926340194305,9877,1633
824325613288833024,11107,9832
824297048279236611,14136,3542
824025158776213504,4558,557
823939628516474880,10001,2518
823719002937630720,0,10283
823699002998870016,13135,2325
823581115634085888,12181,2430
823333489516937216,661,22
823322678127919110,14742,3692
823269594223824897,0,9166
822975315408461824,16285,3181
822872901745569793,123240,39640
822859134160621569,12387,2100
822647212903690241,0,5916
822610361945911296,13886,2710
822489057087389700,17004,5916
822462944365645825,26123,13048
822244816520155136,32935,9166
822163064745328640,0,4343
821886076407029760,10610,2123
821813639212650496,0,3107
821765923262631936,7866,1552
821522889702862852,7525,1624
821421320206483457,0,5091
821407182352777218,11035,3966
821153421864615936,233,8
821149554670182400,8058,1815
821107785811234820,9011,1957
821044531881721856,11849,2107
820837357901512704,0,6192
820749716845686786,29627,9129
820690176645140481,11520,2985
820494788566847489,0,521
820446719150292993,0,2378
820314633777061888,3142,521
820078625395449857,18514,5743
820013781606658049,0,1077
819952236453363712,4996,1077
819924195358416896,12162,4515
819711362133872643,12520,2843
819588359383371776,9102,1860
819347104292290561,6788,1109
819238181065359361,2127,376
819227688460238848,21667,6192
819015337530290176,0,34329
819015331746349057,0,17690
819006400881917954,42754,17690
819004803107983360,82124,34328
818646164899774465,0,19296
818627210458333184,21108,7010
818614493328580609,9255,2337
818588835076603904,0,5649
818536468981415936,10202,2257
818307523543449600,0,7400
818259473185828864,10332,2069
818145370475810820,11546,2352
817908911860748288,4581,733
817827839487737858,48241,24925
817777686764523521,10171,2507
817536400337801217,11052,2712
817502432452313088,0,3120
817423860136083457,31640,13490
817415592588222464,5270,884
817181837579653120,0,7814
817171292965273600,8259,1851
817120970343411712,11478,2397
817056546584727552,8096,1507
816829038950027264,0,4364
816816676327063552,9420,1882
816697700272001025,9183,2036
816450570814898180,28466,7400
816336735214911488,8127,1789
816091915477250048,8437,1974
816062466425819140,0,939
816014286006976512,0,4847
815990720817401858,4667,939
815966073409433600,20994,7814
815745968457060357,0,3838
815736392542261248,9252,2102
815639385530101762,7767,1545
815390420867969024,9758,3543
814986499976527872,7211,1182
814638523311648768,10625,2509
814578408554463233,0,5425
814530161257443328,8174,1727
814153002265309185,27065,8051
813944609378369540,0,2936
813910438903693312,8791,1721
813812741911748608,34411,12964
813800681631023104,7834,1635
813217897535406080,17570,6799
813202720496779264,8719,1697
813187593374461952,18707,4021
813172488309972993,8750,1797
813157409116065792,7328,2055
813142292504645637,8028,2230
813130366689148928,4237,417
813127251579564032,11154,2906
813112105746448384,9746,2549
813096984823349248,9967,3358
813081950185472002,9373,2579
